Series Name,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",Angola,AGO,22.33164597,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",Benin,BEN,13.5968771,..,..,28.58588791,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",Botswana,BWA,48.73712158,..,..,46.788517,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",Burkina Faso,BFA,12.64900875,..,..,34.4989357,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",Burundi,BDI,6.726228237,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",Cabo Verde,CPV,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",Cameroon,CMR,10.17819881,..,..,30.0303688,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",Central African Republic,CAF,..,..,..,9.717617035,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",Chad,TCD,7.826761246,..,..,14.85025883,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",Comoros,COM,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)","Congo, Dem. Rep.",COD,14.32278347,..,..,24.21882248,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)","Congo, Rep.",COG,14.96268177,..,..,20.9935627,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",Cote d'Ivoire,CIV,29.1605835,..,..,35.56497955,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",Equatorial Guinea,GNQ,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",Eritrea,ERI,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",Eswatini,SWZ,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",Ethiopia,ETH,21.00403214,..,..,29.07543182,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",Gabon,GAB,30.73914719,..,..,53.70412445,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)","Gambia, The",GMB,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",Ghana,GHA,39.37730789,..,..,53.72341919,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",Guinea,GIN,4.115076542,..,..,19.67097473,..,..,..
