Series Name,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Age dependency ratio (% of working-age population),Angola,AGO,97.94220557,97.56923863,97.29458812,96.82022783,96.17574044,95.39404182,..
Age dependency ratio (% of working-age population),Benin,BEN,86.81142308,86.09778484,85.53458615,84.88570798,84.16643509,83.38665013,..
Age dependency ratio (% of working-age population),Botswana,BWA,63.00240373,63.27379701,63.05635933,62.66955742,62.17130491,61.63152847,..
Age dependency ratio (% of working-age population),Burkina Faso,BFA,93.01486825,92.2404615,91.56125413,90.80387257,89.95179254,88.98271976,..
Age dependency ratio (% of working-age population),Burundi,BDI,90.57073089,90.89992514,91.19374704,91.35918093,91.38251249,91.25118759,..
Age dependency ratio (% of working-age population),Cabo Verde,CPV,53.57483628,52.55797862,51.67842732,50.86534035,50.12105936,49.48760465,..
Age dependency ratio (% of working-age population),Cameroon,CMR,85.63353426,85.00019732,84.4851599,83.81921698,83.01763161,82.10219811,..
Age dependency ratio (% of working-age population),Central African Republic,CAF,92.26503799,92.44024963,91.52540799,90.39576061,89.10773164,87.73985849,..
Age dependency ratio (% of working-age population),Chad,TCD,102.2611823,101.1318623,100.3706984,99.47055882,98.43954875,97.28763578,..
Age dependency ratio (% of working-age population),Comoros,COM,76.1709117,75.54701507,75.13405947,74.62795448,74.05056806,73.43429608,..
Age dependency ratio (% of working-age population),"Congo, Dem. Rep.",COD,97.65798663,97.47930515,97.4976527,97.25123086,96.78640987,96.14896267,..
Age dependency ratio (% of working-age population),"Congo, Rep.",COG,80.85244314,80.90940215,80.77069083,80.46423432,80.00253304,79.40008009,..
Age dependency ratio (% of working-age population),Cote d'Ivoire,CIV,83.87211616,83.02068477,82.48673196,81.84230392,81.14602119,80.46574701,..
Age dependency ratio (% of working-age population),Equatorial Guinea,GNQ,67.54739291,66.84270868,66.54614979,66.02698528,65.49306281,64.96561356,..
Age dependency ratio (% of working-age population),Eritrea,ERI,..,..,..,..,..,..,..
Age dependency ratio (% of working-age population),Eswatini,SWZ,75.99548046,75.59264131,74.31957274,73.46752129,72.79236313,71.95786611,..
Age dependency ratio (% of working-age population),Ethiopia,ETH,85.7530819,83.91972363,82.46097801,80.95823043,79.4820265,78.10432337,..
Age dependency ratio (% of working-age population),Gabon,GAB,67.1241481,66.55415892,67.20863011,67.80425764,68.3212,68.70311816,..
Age dependency ratio (% of working-age population),"Gambia, The",GMB,89.81687366,89.24119711,89.00890633,88.65317002,88.17768791,87.57518328,..
Age dependency ratio (% of working-age population),Ghana,GHA,70.66334005,70.0550414,69.64505627,69.11841722,68.53447275,67.96050651,..
Age dependency ratio (% of working-age population),Guinea,GIN,93.01156826,91.98824702,90.60058367,89.23332961,87.88586446,86.53895618,..
Age dependency ratio (% of working-age population),Guinea-Bissau,GNB,83.35787221,82.97893406,82.86975622,82.67375853,82.35824082,81.87414669,..
Age dependency ratio (% of working-age population),Kenya,KEN,78.5271815,77.12998533,75.6799224,74.23459844,72.77528872,71.28332601,..
Age dependency ratio (% of working-age population),Lesotho,LSO,62.84883878,61.82297737,61.45756819,60.91151379,60.30117701,59.72589232,..
Age dependency ratio (% of working-age population),Liberia,LBR,83.78886669,82.70771823,81.8170575,80.83649167,79.7863446,78.69463989,..
Age dependency ratio (% of working-age population),Madagascar,MDG,81.28703808,80.10694303,79.12440343,78.26104688,77.47762031,76.71248925,..
Age dependency ratio (% of working-age population),Malawi,MWI,92.56388123,91.29253726,89.86509377,88.48681449,87.082769,85.56563822,..
Age dependency ratio (% of working-age population),Mali,MLI,102.1915058,101.9346323,101.5171021,100.9554734,100.2030712,99.20249208,..
