Series Name,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Children out of school, primary, female",Angola,AGO,..,..,..,..,..,..,..
"Children out of school, primary, female",Benin,BEN,..,..,..,..,..,88277,..
"Children out of school, primary, female",Botswana,BWA,16996,..,..,..,..,..,..
"Children out of school, primary, female",Burkina Faso,BFA,479159,468549,390999,381641,353506,377174,..
"Children out of school, primary, female",Burundi,BDI,..,..,..,23181,44430,55313,..
"Children out of school, primary, female",Cabo Verde,CPV,2348,2269,2505,2406,2238,..,..
"Children out of school, primary, female",Cameroon,CMR,..,..,176603,210143,..,262532,..
"Children out of school, primary, female",Central African Republic,CAF,..,..,..,..,..,..,..
"Children out of school, primary, female",Chad,TCD,..,379252,453380,539891,466355,483664,..
"Children out of school, primary, female",Comoros,COM,8261,..,..,9185,11145,..,..
"Children out of school, primary, female","Congo, Dem. Rep.",COD,..,..,..,..,..,..,..
"Children out of school, primary, female","Congo, Rep.",COG,..,..,..,..,..,..,..
"Children out of school, primary, female",Cote d'Ivoire,CIV,577381,518393,330089,289354,197509,166688,..
"Children out of school, primary, female",Equatorial Guinea,GNQ,..,40811,..,..,..,..,..
"Children out of school, primary, female",Eritrea,ERI,87020,98115,..,122508,124564,..,..
"Children out of school, primary, female",Eswatini,SWZ,15245,16453,16596,17972,17707,..,..
"Children out of school, primary, female",Ethiopia,ETH,1313512,1394680,..,..,..,..,..
"Children out of school, primary, female",Gabon,GAB,..,..,..,..,..,..,..
"Children out of school, primary, female","Gambia, The",GMB,42828,33606,31082,27476,25341,18319,..
"Children out of school, primary, female",Ghana,GHA,..,..,..,33801,69192,8783,..
"Children out of school, primary, female",Guinea,GIN,245629,..,283090,..,..,..,..
"Children out of school, primary, female",Guinea-Bissau,GNB,..,..,..,..,..,..,..
"Children out of school, primary, female",Kenya,KEN,..,..,..,..,..,..,..
"Children out of school, primary, female",Lesotho,LSO,12767,10829,7097,3109,..,..,..
"Children out of school, primary, female",Liberia,LBR,26071,..,..,77218,..,..,..
"Children out of school, primary, female",Madagascar,MDG,..,..,..,..,..,..,..
"Children out of school, primary, female",Malawi,MWI,..,..,..,..,..,..,..
"Children out of school, primary, female",Mali,MLI,563751,624734,632084,566837,711827,..,..
"Children out of school, primary, female",Mauritania,MRT,61871,..,75256,61573,60060,70645,..
"Children out of school, primary, female",Mauritius,MUS,..,..,..,..,..,..,..
"Children out of school, primary, female",Mozambique,MOZ,336489,305669,313674,335103,219096,110861,..
"Children out of school, primary, female",Namibia,NAM,..,..,..,..,..,..,..
"Children out of school, primary, female",Niger,NER,711780,718427,728586,701725,..,886775,..
"Children out of school, primary, female",Nigeria,NGA,..,..,..,..,..,..,..
"Children out of school, primary, female",Rwanda,RWA,..,..,1351,18096,38344,59284,..
